
code	|	name	|	preferred name	|	taxid
1	|	Acidilobus saccharovorans	|	 	|	242703
1	|	Acidiplasma aeolicum	|	 	|	507754
1	|	Acidiplasma cupricumulans	|	 	|	312540
1	|	Aciduliprofundum boonei	|	Candidatus Aciduliprofundum boonei	|	379547
1	|	Aeropyrum camini	|	 	|	229980
1	|	Aeropyrum pernix	|	 	|	56636
1	|	Archaeoglobus fulgidus	|	 	|	2234
1	|	Archaeoglobus profundus	|	 	|	84156
1	|	Archaeoglobus sulfaticallidus	|	 	|	1316941
1	|	Archaeoglobus veneficus	|	 	|	58290
1	|	Caldisphaera lagunensis	|	 	|	200415
1	|	Caldivirga maquilingensis	|	 	|	76887
2	|	Desulfurococcus fermentans	|	Desulfurococcus amylolyticus	|	94694
2	|	Desulfurococcus kamchatkensis	|	Desulfurococcus amylolyticus	|	94694
1	|	Desulfurococcus mucosus	|	 	|	2275
1	|	Ferroglobus placidus	|	 	|	54261
1	|	Fervidicoccus fontis	|	 	|	683846
1	|	Geoglobus acetivorans	|	 	|	565033
1	|	Haladaptatus paucihalophilus	|	 	|	367189
1	|	Halalkalicoccus jeotgali	|	 	|	413810
1	|	Halarchaeum acidiphilum	|	 	|	489138
1	|	Haloarcula argentinensis	|	 	|	43776
1	|	Haloarcula hispanica	|	 	|	51589
1	|	Haloarcula japonica	|	 	|	29282
1	|	Haloarcula marismortui	|	 	|	2238
1	|	Haloarcula vallismortis	|	 	|	28442
1	|	Halobacterium salinarum	|	 	|	2242
1	|	Halococcus morrhuae	|	 	|	2250
1	|	Halococcus saccharolyticus	|	 	|	62319
1	|	Halococcus salifodinae	|	 	|	36738
1	|	Haloferax denitrificans	|	 	|	35745
1	|	Haloferax gibbonsii	|	 	|	35746
1	|	Haloferax lucentense	|	 	|	2254
1	|	Haloferax mediterranei	|	 	|	2252
1	|	Haloferax prahovense	|	 	|	381852
1	|	Haloferax sulfurifontis	|	 	|	255616
1	|	Haloferax volcanii	|	 	|	2246
1	|	Halogeometricum borinquense	|	 	|	60847
1	|	Halomicrobium mukohataei	|	 	|	57705
1	|	Halopiger xanaduensis	|	 	|	387343
1	|	Haloquadratum walsbyi	|	 	|	293091
1	|	Halorhabdus tiamatea	|	 	|	430914
1	|	Halorhabdus utahensis	|	 	|	146826
1	|	Halorubrum aidingense	|	 	|	368623
1	|	Halorubrum arcis	|	 	|	368454
1	|	Halorubrum hochstenium	|	 	|	1227480
1	|	Halorubrum lacusprofundi	|	 	|	2247
1	|	Halorubrum lipolyticum	|	 	|	368624
1	|	Halorubrum litoreum	|	 	|	409316
1	|	Halorubrum saccharovorum	|	 	|	2248
1	|	Halorubrum tebenquichense	|	 	|	119434
1	|	Halosimplex carlsbadense	|	 	|	171164
1	|	Halostagnicola larsenii	|	 	|	353800
1	|	Haloterrigena thermotolerans	|	Natrinema thermotolerans	|	121872
1	|	Haloterrigena turkmenica	|	 	|	62320
1	|	Halovivax ruber	|	 	|	387341
1	|	Hyperthermus butylicus	|	 	|	54248
1	|	Ignicoccus hospitalis	|	 	|	160233
1	|	Ignicoccus islandicus	|	 	|	54259
1	|	Ignisphaera aggregans	|	 	|	334771
1	|	Metallosphaera sedula	|	 	|	43687
1	|	Methanobacterium congolense	|	 	|	118062
1	|	Methanobacterium formicicum	|	 	|	2162
1	|	Methanobacterium lacus	|	 	|	877455
1	|	Methanobrevibacter curvatus	|	 	|	49547
1	|	Methanobrevibacter cuticularis	|	 	|	47311
1	|	Methanobrevibacter filiformis	|	 	|	55758
