
code	|	name	|	preferred name	|	taxid
1	|	Abiotrophia defectiva	|	 	|	46125
1	|	Acetivibrio ethanolgignens	|	 	|	290052
1	|	Acetobacter cerevisiae	|	 	|	178900
1	|	Acetobacter aceti	|	 	|	435
1	|	Acetobacter cibinongensis	|	 	|	146475
1	|	Acetobacter indonesiensis	|	 	|	104101
1	|	Acetobacter ghanensis	|	 	|	431306
1	|	Acetobacter malorum	|	 	|	178901
1	|	Acetobacter orientalis	|	 	|	146474
1	|	Acetobacter pasteurianus	|	 	|	438
1	|	Acetobacter orleanensis	|	 	|	104099
1	|	Acetobacter pomorum	|	 	|	65959
1	|	Acetobacter senegalensis	|	 	|	446692
1	|	Acetobacter syzygii	|	 	|	146476
1	|	Acetobacter tropicalis	|	 	|	104102
1	|	Acetobacterium bakii	|	 	|	52689
1	|	Acetobacterium woodii	|	 	|	33952
1	|	Acetohalobium arabaticum	|	 	|	28187
1	|	Acetonema longum	|	 	|	2374
1	|	Acholeplasma laidlawii	|	 	|	2148
1	|	Achromobacter piechaudii	|	 	|	72556
1	|	Achromobacter spanius	|	 	|	217203
1	|	Achromobacter xylosoxidans	|	 	|	85698
1	|	Acidaminococcus fermentans	|	 	|	905
1	|	Acidaminococcus intestini	|	 	|	187327
1	|	Acidiferrobacter thiooxydans	|	 	|	163359
1	|	Acidimicrobium ferrooxidans	|	 	|	53635
1	|	Acidiphilium cryptum	|	 	|	524
1	|	Acidiphilium multivorum	|	 	|	62140
1	|	Acidisphaera rubrifaciens	|	 	|	50715
1	|	Acidithiobacillus caldus	|	 	|	33059
1	|	Acidithiobacillus ferrivorans	|	 	|	160808
1	|	Acidithiobacillus ferrooxidans	|	 	|	920
1	|	Acidithiobacillus thiooxidans	|	 	|	930
1	|	Acidobacterium capsulatum	|	 	|	33075
1	|	Acidocella aminolytica	|	 	|	33998
1	|	Acidomonas methanolica	|	 	|	437
1	|	Acidothermus cellulolyticus	|	 	|	28049
1	|	Acidovorax avenae	|	 	|	80867
1	|	Acidovorax citrulli	|	 	|	80869
1	|	Acidovorax delafieldii	|	 	|	47920
1	|	Actinomyces oris	|	 	|	544580
1	|	Acinetobacter baumannii	|	 	|	470
1	|	Acinetobacter baylyi	|	 	|	202950
1	|	Acinetobacter beijerinckii	|	 	|	262668
1	|	Acinetobacter bereziniae	|	 	|	106648
1	|	Acinetobacter bouvetii	|	 	|	202951
1	|	Acinetobacter brisouii	|	 	|	396323
1	|	Acinetobacter calcoaceticus	|	 	|	471
1	|	Acinetobacter gerneri	|	 	|	202952
1	|	Acinetobacter guillouiae	|	 	|	106649
1	|	Acinetobacter haemolyticus	|	 	|	29430
1	|	Acinetobacter johnsonii	|	 	|	40214
1	|	Acinetobacter junii	|	 	|	40215
1	|	Acinetobacter lwoffii	|	 	|	28090
1	|	Acinetobacter parvus	|	 	|	134533
1	|	Acinetobacter radioresistens	|	 	|	40216
1	|	Acinetobacter rudis	|	 	|	632955
1	|	Acinetobacter schindleri	|	 	|	108981
1	|	Acinetobacter tandoii	|	 	|	202954
1	|	Acinetobacter tjernbergiae	|	 	|	202955
1	|	Acinetobacter towneri	|	 	|	202956
1	|	Acinetobacter ursingii	|	 	|	108980
1	|	Acinetobacter venetianus	|	 	|	52133
1	|	Actinoalloteichus hymeniacidonis	|	 	|	340345
1	|	Actinobacillus equuli	|	 	|	718
1	|	Actinobacillus pleuropneumoniae	|	 	|	715
1	|	Actinobacillus succinogenes	|	 	|	67854
1	|	Actinobacillus suis	|	 	|	716
1	|	Actinobacillus ureae	|	 	|	723
1	|	Actinobaculum massiliense	|	 	|	202789
1	|	Actinobaculum suis	|	 	|	1657
1	|	Actinomyces cardiffensis	|	Schaalia cardiffensis	|	181487
1	|	Actinomyces coleocanis	|	Gleimia coleocanis	|	103618
1	|	Actinomyces europaeus	|	Gleimia europaea	|	66228
1	|	Actinomyces georgiae	|	Schaalia georgiae	|	52768
1	|	Actinomyces graevenitzii	|	 	|	55565
1	|	Actinomyces hongkongensis	|	Pauljensenia hongkongensis	|	178339
1	|	Actinomyces massiliensis	|	 	|	461393
1	|	Actinomyces meyeri	|	Schaalia meyeri	|	52773
1	|	Actinomyces naeslundii	|	 	|	1655
1	|	Actinomyces neuii	|	Winkia neuii	|	33007
1	|	Actinomyces odontolyticus	|	Schaalia odontolytica	|	1660
1	|	Actinomyces radicidentis	|	 	|	111015
1	|	Actinomyces turicensis	|	Schaalia turicensis	|	131111
1	|	Actinomyces urogenitalis	|	 	|	103621
1	|	Actinomyces viscosus	|	 	|	1656
1	|	Actinoplanes missouriensis	|	 	|	1866
1	|	Actinoplanes utahensis	|	 	|	1869
1	|	Actinopolyspora erythraea	|	 	|	414996
1	|	Actinospica robiniae	|	 	|	304901
1	|	Actinosynnema mirum	|	 	|	40567
1	|	Actinotalea fermentans	|	 	|	43671
1	|	Adlercreutzia equolifaciens	|	 	|	446660
1	|	Advenella kashmirensis	|	 	|	310575
1	|	Advenella mimigardefordensis	|	 	|	302406
1	|	Aequorivita sublithincola	|	 	|	101385
1	|	Aeribacillus pallidus	|	 	|	33936
1	|	Aerococcus christensenii	|	 	|	87541
1	|	Aerococcus sanguinicola	|	 	|	119206
1	|	Aerococcus urinae	|	 	|	1376
1	|	Aerococcus urinaeequi	|	 	|	51665
1	|	Aerococcus urinaehominis	|	 	|	128944
1	|	Aerococcus viridans	|	 	|	1377
1	|	Aeromicrobium erythreum	|	 	|	2041
1	|	Aeromicrobium marinum	|	 	|	219314
1	|	Aeromonas allosaccharophila	|	 	|	656
1	|	Aeromonas enteropelogenes	|	 	|	29489
1	|	Aeromonas hydrophila	|	 	|	644
1	|	Aeromonas media	|	 	|	651
1	|	Aeromonas piscicola	|	 	|	600645
1	|	Aeromonas salmonicida	|	 	|	645
1	|	Aeromonas schubertii	|	 	|	652
1	|	Aeromonas veronii	|	 	|	654
1	|	Afipia broomeae	|	 	|	56946
1	|	Afipia clevelandensis	|	 	|	1034
1	|	Afipia felis	|	 	|	1035
1	|	Afipia massiliensis	|	 	|	211460
1	|	Aggregatibacter actinomycetemcomitans	|	 	|	714
1	|	Aggregatibacter segnis	|	 	|	739
